Date,Close,High,Low,Open,Volume
6/1/2021,1902.900024,1916.199951,1892.800049,1905.099976,640
6/2/2021,1907.5,1908.800049,1896,1899.199951,1267
6/3/2021,1871.199951,1908.800049,1865,1908.800049,1021
6/4/2021,1889.800049,1895.5,1854,1869.300049,367
6/7/2021,1896.800049,1899.699951,1883.199951,1890.5,87
6/8/2021,1892.199951,1902.900024,1890,1896.5,930
6/9/2021,1893.199951,1897.699951,1889.199951,1894.900024,148
6/10/2021,1894.199951,1899.800049,1871.5,1887.699951,186
6/11/2021,1877.400024,1902.300049,1875.199951,1900.900024,349
6/14/2021,1864,1866.599976,1846.5,1866.199951,41
6/15/2021,1854.5,1867.199951,1854.400024,1866.400024,78
6/16/2021,1859.5,1860.099976,1809.199951,1859.400024,117
6/17/2021,1773.800049,1823.300049,1769.599976,1811.800049,1135
6/18/2021,1767.900024,1792.400024,1767.900024,1775.699951,354
6/21/2021,1781.800049,1785.199951,1766.800049,1768.800049,38
6/22/2021,1776.300049,1786.900024,1775.900024,1783.400024,101
6/23/2021,1782.300049,1793.199951,1780.599976,1780.699951,136
6/24/2021,1775.599976,1786.400024,1775.599976,1778.900024,78
6/25/2021,1776.599976,1788,1775.199951,1777.699951,35
6/28/2021,1779.599976,1779.599976,1779.599976,1779.599976,888
6/29/2021,1762.800049,1777.099976,1752.099976,1776.800049,419
6/30/2021,1770.800049,1770.800049,1759.199951,1761.099976,51
7/1/2021,1775.900024,1781.199951,1768.800049,1775.699951,44
7/2/2021,1782.599976,1787.900024,1778.300049,1778.699951,23
7/6/2021,1793.5,1809.800049,1786.699951,1786.699951,332
7/7/2021,1801.5,1808.400024,1797.199951,1798.699951,244
7/8/2021,1799.599976,1818.5,1797,1797,148
7/9/2021,1810,1810.099976,1798.800049,1803.599976,218
7/12/2021,1805.5,1805.5,1799.5,1802.599976,147
7/13/2021,1809.400024,1812,1800.599976,1808.099976,78
7/14/2021,1824.300049,1829,1813.099976,1813.099976,707
7/15/2021,1828.400024,1833,1823.400024,1831.599976,99
7/16/2021,1814.5,1831.400024,1814.5,1830.099976,78
7/19/2021,1808.699951,1813.400024,1803.300049,1803.300049,33
7/20/2021,1810.900024,1824,1810.900024,1812.900024,128
7/21/2021,1802.900024,1807,1800,1807,135
7/22/2021,1805,1805,1793.599976,1793.599976,2
7/23/2021,1801.400024,1801.400024,1800,1800,1
7/26/2021,1798.699951,1802.5,1797.199951,1802.5,17
7/27/2021,1799.5,1803.699951,1799.5,1803.699951,1
7/28/2021,1799.5,1799.5,1799.5,1799.5,209783
7/29/2021,1831.199951,1832.599976,1806.099976,1806.599976,30496
7/30/2021,1812.599976,1830.5,1808.900024,1828,3100
8/2/2021,1818.099976,1818.699951,1804.800049,1812.400024,1334
8/3/2021,1810.099976,1813.5,1806,1812.300049,3341
8/4/2021,1810.5,1831.300049,1806.300049,1809.300049,2860
8/5/2021,1805.099976,1813.699951,1796,1810.800049,588
8/6/2021,1760,1800.099976,1758.400024,1799.800049,859
8/9/2021,1723.400024,1753.800049,1692.599976,1753.5,1621
8/10/2021,1728.800049,1735.199951,1720.099976,1728.599976,1363
8/11/2021,1750.400024,1752.199951,1727.300049,1727.300049,542
8/12/2021,1749,1752.400024,1745.5,1749.699951,739
8/13/2021,1775.199951,1777.300049,1757.400024,1758.300049,436
8/16/2021,1786.900024,1787.800049,1771.900024,1776.900024,219
8/17/2021,1785,1794.199951,1780,1787.699951,200
8/18/2021,1781.599976,1791.5,1779,1787.800049,263
8/19/2021,1780.199951,1789.300049,1775.5,1780,245
8/20/2021,1781,1787.5,1778.199951,1784.099976,235
8/23/2021,1803.199951,1804.800049,1776.800049,1776.800049,32
8/24/2021,1805.599976,1805.599976,1801,1801,22
8/25/2021,1788.199951,1792.900024,1784,1792,812
8/26/2021,1792.199951,1792.199951,1781,1787.400024,61
8/27/2021,1816.599976,1816.599976,1803.099976,1803.400024,1219
8/30/2021,1809,1820.300049,1807.800049,1818.199951,684
8/31/2021,1815,1815.900024,1801.099976,1815.900024,82
9/1/2021,1813.099976,1815.900024,1809.5,1813.5,114
9/2/2021,1808.699951,1813.900024,1806.800049,1813.199951,26
9/3/2021,1830.900024,1833.900024,1818.900024,1820.900024,53
9/7/2021,1795.900024,1825.699951,1792.699951,1825.699951,48
9/8/2021,1790.699951,1790.699951,1781.699951,1781.699951,69
9/9/2021,1797.400024,1798.699951,1787.900024,1798.699951,49
9/10/2021,1789.599976,1789.599976,1789.599976,1789.599976,0
9/13/2021,1792,1796,1784,1789.800049,533
9/14/2021,1804.699951,1806.199951,1783,1791.400024,764
9/15/2021,1792.400024,1803.699951,1792.400024,1803.699951,59
9/16/2021,1754.599976,1792.900024,1743.900024,1792.900024,1645
9/17/2021,1749.400024,1763,1749.400024,1758.800049,581
9/20/2021,1761.800049,1761.800049,1750.900024,1751.800049,185
9/21/2021,1776,1776,1759,1762.199951,106
9/22/2021,1776.699951,1784.300049,1767,1776.699951,17
9/23/2021,1747.699951,1766.800049,1738.199951,1766.800049,31
9/24/2021,1749.699951,1749.699951,1745,1749.699951,76
9/27/2021,1750,1754.400024,1747.5,1751.699951,808
9/28/2021,1735.800049,1741.699951,1726.800049,1739.599976,15748
